"Winter","Freeze-Over Date","Thaw Date","Days of Ice Cover"
"1960-61","December 19","April 6","108"
"1961-62","December 16","April 12","117"
"1962-63","December 12","April 3","112"
"1963-64","December 20","April 11","113"
"1964-65","December 15","April 14","120"
"1965-66","January 11","March 17","65"
"1966-67","December 26","April 3","98"
"1967-68","December 27","March 27","91"
"1968-69","December 25","April 10","108"
"1968-69","December 17","December 19",""
"1969-70","December 16","April 8","113"
"1970-71","December 24","April 13","110"
"1971-72","January 5","April 19","105"
"1972-73","December 7","March 14","97"
"1973-74","December 21","April 5","105"
"1974-75","January 2","April 19","107"
"1975-76","December 27","March 24","88"
"1976-77","December 3","March 28","115"
"1977-78","December 10","April 11","123"
"1977-78","December 7","December 8",""
"1978-79","December 25","April 19","118"
"1978-79","December 10","December 13",""
"1979-80","December 29","April 6","99"
"1980-81","December 20","March 23","93"
"1981-82","December 28","April 3","96"
"1982-83","January 13","March 8","54"
"1983-84","December 19","April 8","111"
"1984-85","January 2","March 27","85"
"1984-85","December 25","December 26",""
"1985-86","December 14","March 31","107"
"1986-87","December 13","March 12","89"
"1987-88","January 2","March 29","87"
"1988-89","December 29","April 5","97"
"1989-90","December 12","March 15","93"
"1990-91","December 26","March 24","88"
"1991-92","December 18","March 26","99"
"1992-93","December 24","April 11","108"
"1993-94","December 27","March 31","94"
"1994-95","January 6","March 21","74"
"1995-96","December 10","April 7","119"
"1996-97","December 20","April 1","102"
"1997-98","January 11","February 27","47"
"1998-99","December 30","March 21","82"
"1999-00","January 14","March 7","53"
"2000-01","December 13","April 7","115"
"2001-02","March 4","March 15","21"
"2001-02","January 2","January 12",""
"2002-03","January 4","April 3","89"
"2003-04","January 7","March 27","80"
"2004-05","December 25","April 5","101"
"2005-06","December 19","March 24","95"
"2006-07","January 20","March 27","66"
"2007-08","December 26","April 10","106"
"2008-09","December 16","March 23","97"
"2009-10","December 29","March 26","87"
"2010-11","December 15","April 3","109"
"2011-12","January 14","March 11","57"
"2012-13","January 14","April 11","87"
"2013-14","December 16","April 12","117"
"2014-15","January 2","April 3","91"
"2015-16","January 11","March 13","62"
"2016-17","January 1","March 7","65"
"2017-18","December 27","March 31","94"
"2018-19","January 10","March 31","86"
"2018-19","December 15","December 21",""
"2019-20","January 12","March 22","70"
"2020-21","January 3","March 20","76"
"2021-22","January 7","April 2","85"
"2022-23","December 25","April 2","98"
"2023-24","January 15","",""
